Status,File1_Row,File2_Row,Similarity,Hawaiian_Text,English_Text,Source_File
Unique,10,-,0.000,"O Waiakea i Hilo ka aina, o Halepaki ka makuakane, o Wailea ka makuahine. He kaikaina hoi ko Wailea, o Kalenaihaleauau, ka wahine a Kukuipahu, ke ’lii o Kohala. Hanau o Kaipalaoa a nui, hele kona makuakane a Kauai, make ia Kalanialiiloa, he ’lii kapu no Kauai, he ’lii akamai i ka hoopapa, nana ua pa iwi nei o kanaka, o Halepaiwi, he wahi iki koe puni loa ua pa nei i ka iwi kanaka. Ua ike no o Halepaki i ka hoopapa, ua ao ia no, aole nae i ailolo, holo e i Kauai a make ai ia Kalanialiiloa. O Pueonuiokona ke ’lii o Kauai.","Kaipalaoa was born in Waiakea, Hilo. His father was Halepaki and his mother was Wailea the sister of Kalenaihaleauau, the wife of Kukuipahu, the king of Kohala. After Kaipalaoa was grown up his father went off to Kauai where he was killed by Kalanialiiloa, a kapu chief of Kauai. This chief was in the front rank of those who took up the profession of hoopapa, who by reason of his great skill had his house enclosed in a fence of bones. This fence was almost completed and every bone in it had come from those he had defeated in the profession.",dataset.csv
Unique,6,-,0.000,"Elua hana ana peia, lohe na kiai, ala ae la hoolohe, a maopopo ia laua ka olelo a ka pueo. I aku kekahi i kekahi: “E, o ke kaikamahine no paha keia a ke ’lii, o Laukiamanuikahiki.” I mai kekahi: “Aole ia; he waa ula kona, he pea ula, he hoe ula, he kanaka ula, he waa nui, he waa iki, he waa loa, he kanaka nui, he kanaka iki, oia kona ano ke hele mai, aole keia kaikamahine ilihune.” Hoolohe hou laua nei, i ka olelo a ka pueo a me Laukiamanuikahiki. “E pii kaua e olelo i ke ’lii, malama o ke kaikamahine no keia.” Ae aku kekahi. “Ae.” Hiki laua i mua o Makiioeoe ke ’lii, i ke aumoe, hoala aku la: “E ia nei, e ala ae oe.” “Heaha?” wahi a Makiioeoe. “He pueo, aia maluna pono o ka puoa i paa ai ke kaikamahine. Penei ka olelo a ka pueo, a maua i lohe aku i ke kahea iho i ke kaikamahine.","This call and reply was repeated twice before the guards heard it, when they sat up and listened to the call and they understood the meaning conveyed by the owl in its call. At this one of the guards said to his companion: “Say, this must be Laukiamanuikahiki, the king’s own daughter.” The other replied: “No, this cannot be the one, for she was to come in a red canoe having red sails, red paddles, red men, a large canoe, a small canoe, large men and small men; these I understand are the things that should accompany her; this girl on the other hand is a poor girl for she has come without any of these things.” The two again listened to the conversation between the owl and girl. After a while they agreed to go up and tell the king of the possibility of this girl being his daughter. They arrived at the home of Makiioeoe after midnight and roused him up saying: “Say, you wake up.” “What is it?” said Makiioeoe. “There is an owl right over the pig house where the girl is held who called out to the girl in the following way:",dataset.csv
Unique,5,-,0.000,"I ka lua o ka po, hiki hou ka uhane o Pumaia i ka wahine. Eia nae ke kumu i hiki ai. Nana aku la ka makuahine i ke kaikamahine a pane aku: “U, o kaua ka hoi ka mea aloha o ka iwi koko, aole o ko makuakane o ka iwi koko ole.” I mai la o Pumaia: “Heaha ka olua e hamumu nei?” “Aole, e mea wale ae ana no maua i ka make, aole ou o ka iwi koko ole.” I aku la o Pumaia i ka wahine: “E hele kakou; e wehe ia’u a lawe pu.” Pii aku la lakou mai Pukoula aku a ka uakee o Pauoa e hele la a hiki i ka wai o Alekoki, ma laila aku a Maemae, pela lakou i pii ai a owakawaka kai ao o ke kakahiaka nui, hiki lakou i Nuuanu.","On the second night, the spirit of Pumaia again came to the wife. The reason for this coming was this: The wife that day looked at her daughter and said: “Yes, I am grieving at our fate as our bones still need blood, not your father as his bones have no blood.” At this Pumaia’s spirit asked: “What are you two talking low about?” The wife replied: “Nothing, we are just talking about death, not of you of the bloodless bones.” Pumaia’s spirit then spoke to the wife: “Let us get away from this place. Take me out and take me along.” After the body had been dug up, they left Pukoula and walked toward the mountains along the road leading to the junction of Pauoa and the road that leads to the Alekoki pool. They then continued on up toward Maemae, and by dawn of [the next day] they reached Nuuanu.",dataset.csv
Unique,4,-,0.000,"I ka lua o ka la o lakou ma Hilo, pii o Keawenuiaumi me Mainele i kahi o ke koa waa, a na manu e hea ai, me ka auamo ia o ka hokeo ie. A hiki pono lakou malalo o ke kumu o ua koa nei, noho kaawale aku la o Kauakahi me ka hokeo ie. Ia wa, ooki na kalai waa a Keawenuiaumi i ke kumu o ke koa, kau ana na manu, kahea ana: “E, Keawenuiaumi e! Aohe waa, he puha. He waa ino, he waa puha. He waa hiki ole i ka moana.”","On the second day of their arrival at Hilo, Keawenuiaumi, Mainele and the people proceeded up into the koa forest where the tree that had been already picked out was situated. On this trip the basket was carried along, and when they arrived at the tree, Kauakahi and his basket remained at a little distance from the others. The king’s canoe makers then proceeded to cut down the tree. Just as soon as this was done the birds lit on the tree and called out: “Say, Keawenuiaumi! You cannot make a canoe [out of this tree], it is hollow. It is a worthless canoe, a hollow canoe. A canoe that will never reach the ocean.”",dataset.csv
Unique,3,-,0.000,"O Kalelealuaka a me Keinohoomanawanui, i ko laua ala ana i ke kakahiaka a hele iwaho o ka hale, iko iho la laua he pahoa e ku ana ma ka puka o ka hale, ua kukuluia. I aku o Keinohoomanawanui ia Kalelealuaka: “Make kaua! Eia la he pahoa ma ka puka o ka hale o kaua! Ua loaa. Aloha ino kaua i ka make; o ka’u no ia e olelo aku ana ia oe e waiho ke ’lii, aohe make olelo.”","When Kalelealuaka and Keinohoomanawanui woke up in the morning and went out of doors, they saw a wooden dagger sticking in the ground just outside of the entrance. At seeing this Keinohoomanawanui said to Kalelealuaka: “We are going to be killed. Here is a wooden dagger at our door. We have been discovered. What a pity that we are to be killed. You can now see the consequences of disobeying my advice, not to speak anything in connection with the king.”",dataset.csv
Unique,2,-,0.000,"No ka pololi loa o Pikoiakaalala nalo aku la ia mai ke anaina kanaka aku, hoi aku la ia a hiki i kona mau kaikuahine, ua moa ka puaa a me ka ai. Mamua o ka paina ana, pane aku o Pikoiakaalala: “E hoolohe mai oukou a pau loa, he wahi kanawai ko’u no ka ai ana, penei: “Aohe walaau, aohe hawanawana, aohe kunou, aohe iniki, aohe hamumu, a pau kuu paina ana.” Lalau aku la ia i ka puaa, hookahi kaka, o ke poi uala, hookahi nau ana, a moni, lalau hou, kokoke e pau ka puaa okoa, a me ka ai a pau o ka umu. Pane mai kekahi kanaka: “He ai na ke Akua.” Oki iho la keia. Pane mai na kaikoeke: “E oki ana ka hoi i ke aha ka ai ana?” “Aole, ua maona ae la no.” “Ae, ua lohe la hoi makou i kou kanawai,” pela na kaikoeke. Ma keia ai ana a Pikoiakaalala, ua pii kona kino a lilo i kanaka nui a me ka maikai, o ka lauoho nae he lauoho iole.","As Pikoiakaalala was very hungry he disappeared from the people who had gathered at this place and returned to his sisters, where he found the pig and food cooked. Before he sat down to eat Pikoiakaalala addressed the people, saying: “I want you all to understand that I have certain rules in connection with my meals. There must be no talking, no whispering, no nodding, no pinching and no noise of any kind should be heard until I finish my meal.” He then reached for a piece of pork and a dish of potato, taking one bite of each which he swallowed; he then reached for another piece of pork, almost finishing the pig, and all the food of the oven. At this one of the men remarked: “He eats like a god.” On hearing this Pikoiakaalala stopped eating. His brothers-in-law then said: “Why don’t you go on eating?” “No, I have had enough.” “Yes, we already heard your rule,” said his brother-in-law. In this one meal partaken by Pikoiakaalala, he grew into a large and fine looking man, but his hair was [like] rat’s hair.",dataset.csv
Unique,1,-,0.000,"Ma keia kaao ana, ua olelo ia ke kino o Kana, he kino loihi loa, a he kino nui a weliweli ke nana aku. I kona hanai ia ana, ua panee kona kino i ka loihi, a ua panee no hoi kona hale o Halauoloolo; mai ke kuahiwi a kokoke i ke kai kona kino ka loihi, a pela iho la no ke ako ana o ka hale, o Halauoloolo.","In this legend it is said that the body of Kana grew to be very tall and large and was terrible to behold. While he was being brought up, he grew so fast that the house had to be lengthened, so that it extended from the mountain until it was almost to the edge of the sea. Such is the story as told of this house, Halauoloolo.",dataset.csv
Unique,7,-,0.000,"O Makiioeoe ka makuakane, o Hina ka makuahine (o Kuaihelani ko Makiioeoe aina, oia ke ’lii olaila, he wahine no kana e noho ana i Kuaihelani, hookahi keiki me ia wahine, o Kahikiula ka inoa). No Kauai o Hina, ilaila kahi i loaa ai o Laukiamanuikahiki. Mai Kuaihelani ka Makiioeoe hele ana mai, a loaa o Hina i Kauai, moe laua; a liuliu, hapai o Hina. Ia wa, hoi o Makiioeoe i Kuaihelani, olelo aku ia Hina: “E, ke hoi nei au; e noho oe a i hanau he keiki kane, kapa oe i kuu inoa; a i hanau he kaikamahine, kapa oe i ka inoa o Laukiamanuikahiki. I hanai oe a i nui, a manao e hele ae e imi ia’u, eia na hoailona, he lei palaoa, he kupee, he ahuula, he waa nui, he waa iki, he kanaka nui, he kanaka iki, he waa ula, he pea ula, he ka ulaula, he aha ula, he kanaka ula.” Hoi aku la o Makiioeoe i Kuaihelani, me ka olelo i na kiai i ke ano o ke kaikamahine, a me ke kanu i na mea a pau loa no Laukiamanuikahiki, na kiowai a me na mea e ae, kapu a noa ia Laukiamanuikahiki.","Makiioeoe was the father and Hina was the mother of Laukiamanuikahiki. Kuaihelani was the home of Makiioeoe where he ruled as king and where his queen lived from whom he had one child, Kahikiula by name. Hina belonged to Kauai, where Laukiamanuikahiki was born. Makiioeoe in his travels came to Kauai where he met Hina and took her to wife, and after living with her for some time, Hina conceived a child. Shortly after this Makiioeoe prepared to return to Kuaihelani; so he said to Hina: “I am going home. If you should give birth to a boy give him my name; but in case it should be a girl call her Laukiamanuikahiki. If after you bring the child up she should express a desire to come in search of me, these shall be the tokens by which I shall recognize the child: this necklace of whale’s teeth, this bracelet, this feather cloak. She must be accompanied by a large canoe, a small canoe, large men, small men, a red canoe, red sails, red bailing cup, red cords and a red man.” Makiioeoe then took his leave and returned to Kuaihelani. When he arrived home he instructed his guards as to the sign by which to recognize his daughter and he also instructed his servants to proceed and plant all kinds of fruit and other things for his daughter Laukiamanuikahiki. He also caused a pool of water to be made as well as other things and placed a kapu on them all to be free only after the same shall have been used by Laukiamanuikahiki.",dataset.csv
Unique,8,-,0.000,"He aina hau kinikini o Kohala,

Na’u i helu a hookahi hau,

A ehiku hau keu

O ke ama hau la akahi,

O ka iako hau la alua,

O ka ilihau la akolu,

O ka laau hau la aha,

O ke opu hau la alima,

O ka nanana hau la aona,

O ka hau i ka mauna la ahiku.","The land of many hau trees is Kohala,

I have counted [out of] one hau tree,

And have found seven hau.

The hau for the outrigger makes one,

The hau for the iako makes two,

The bark of the hau makes three,

The wood of the hau makes four,

The bush of the hau makes five,

The large hau tree makes six,

The hau on the mountain makes seven.",dataset.csv
Unique,9,-,0.000,"Olelo mai na kanaka makua: “Keiki wahahee; pau no ka waa iloko o ka ipu, e laa me ka iako, ke ama?” I aku ke keiki: “Kuku ia ke kapa a kiwaawaa, hahao iloko o ka ipu, aole ia la he waa? He waa ia. Kuku ia ke kapa a iako, hahao ia iloko o ka ipu, aole ia la he iako? He iako. Lawaia ka ia a loaa he ama, hahahao ia iloko o ka ipu, aole ia la he ama? He ama ia.”","The men then replied: “You are mistaken, young man. How can a canoe get into a calabash with its iako and outrigger?” The boy answered: “The kapa cloth made from the kiwaawaa is first beaten and then put into the calabash. The word (waa) canoe is there, is it not? I think it is. The kapa of iako is also beaten and then put into the calabash. Is not the iako then put into the calabash? I believe it is. The fisherman goes out and catches an ama and puts it into the calabash. Is not that an ama (outrigger)? I think it is.”",dataset.csv
